,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_64
roc_auc,59,0.68013,0.8269,0.82693,0.79443,0.80785,0.76734,0.81862
roc_auc,60,0.65015,0.77509,0.85321,0.80466,0.81064,0.81119,0.8132
roc_auc,61,0.66629,0.75824,0.77002,0.76624,0.76495,0.76611,0.79614
roc_auc,62,0.68375,0.84029,0.8439,0.83516,0.84363,0.82436,0.86396
roc_auc,63,0.68047,0.78651,0.79718,0.828,0.79639,0.7837,0.84754
roc_auc,64,0.62961,0.76926,0.82904,0.75165,0.82935,0.76579,0.82394
roc_auc,65,0.65927,0.78961,0.8309,0.82495,0.78934,0.79251,0.81485
roc_auc,66,0.63488,0.78608,0.76541,0.79192,0.79376,0.76076,0.79051
roc_auc,67,0.66613,0.85788,0.87261,0.83088,0.85678,0.85941,0.86733
roc_auc,68,0.68307,0.80701,0.81113,0.76578,0.78827,0.76639,0.79544
roc_auc,69,0.68695,0.80344,0.85992,0.82855,0.84286,0.78589,0.84125
roc_auc,70,0.62356,0.84568,0.82192,0.82929,0.83103,0.83647,0.84815
roc_auc,71,0.66628,0.76162,0.80265,0.77672,0.79697,0.78131,0.81219
roc_auc,72,0.6452,0.80612,0.83893,0.81418,0.82065,0.78171,0.83469
roc_auc,73,0.66519,0.78455,0.8212,0.79843,0.82788,0.8111,0.83942
roc_auc,74,0.68606,0.7944,0.8184,0.81274,0.77535,0.82461,0.82956
roc_auc,75,0.65487,0.80993,0.83543,0.81085,0.78614,0.79339,0.84354
roc_auc,76,0.70212,0.78796,0.84729,0.80011,0.81891,0.80386,0.84418
roc_auc,77,0.65378,0.8288,0.83557,0.81281,0.85123,0.81436,0.85965
roc_auc,78,0.68086,0.78544,0.83476,0.82895,0.79837,0.81531,0.82809
roc_auc,79,0.65102,0.79339,0.80608,0.78954,0.77605,0.77082,0.82378
roc_auc,80,0.69446,0.85214,0.85611,0.81476,0.85025,0.8317,0.87546
roc_auc,81,0.66653,0.8241,0.85489,0.79483,0.82693,0.80389,0.84525
roc_auc,82,0.65218,0.80513,0.81143,0.78896,0.7947,0.7859,0.82687
roc_auc,83,0.65775,0.77957,0.80507,0.82519,0.80626,0.7833,0.81146
roc_auc,84,0.6521,0.80829,0.8324,0.81302,0.81738,0.82043,0.84171
roc_auc,85,0.6937,0.81015,0.83594,0.84753,0.85614,0.8139,0.86084
roc_auc,86,0.64503,0.79645,0.82913,0.79281,0.81045,0.82118,0.84987
roc_auc,87,0.64258,0.81718,0.79645,0.82112,0.81941,0.80079,0.82675
roc_auc,88,0.67059,0.80893,0.82074,0.83032,0.81189,0.78461,0.83542
roc_auc,89,0.65222,0.81204,0.83249,0.82321,0.79843,0.81314,0.86856
roc_auc,90,0.64188,0.84565,0.85534,0.82082,0.82014,0.81855,0.83843
roc_auc,91,0.64702,0.77691,0.83476,0.7533,0.80015,0.80684,0.80813
roc_auc,92,0.67911,0.82043,0.84216,0.82849,0.80795,0.82449,0.83926
roc_auc,93,0.6781,0.79346,0.87228,0.8313,0.8439,0.85281,0.88397
roc_auc,94,0.66886,0.85035,0.81758,0.82806,0.80054,0.81446,0.81033
roc_auc,95,0.5906,0.74349,0.81871,0.74147,0.78437,0.75648,0.78247
roc_auc,96,0.57892,0.85159,0.888,0.80966,0.83313,0.80322,0.85056
roc_auc,97,0.6196,0.7326,0.76099,0.74295,0.76035,0.75473,0.76422
roc_auc,98,0.68869,0.73581,0.80247,0.77899,0.7833,0.76101,0.83803
roc_auc,99,0.69554,0.82699,0.87439,0.84485,0.85152,0.8683,0.87708
roc_auc,100,0.63742,0.78943,0.8176,0.78192,0.78186,0.77911,0.80347
roc_auc,101,0.70868,0.79727,0.84442,0.87271,0.88635,0.85913,0.89713
roc_auc,102,0.6871,0.84262,0.8413,0.83036,0.81271,0.81424,0.86353
roc_auc,103,0.58387,0.76856,0.79758,0.77443,0.78474,0.7467,0.79926
roc_auc,104,0.67322,0.80103,0.82224,0.78387,0.7778,0.81897,0.82288
roc_auc,105,0.69193,0.82739,0.85098,0.83118,0.79642,0.81995,0.82492
roc_auc,106,0.63839,0.78574,0.83864,0.78911,0.84158,0.81326,0.84149
roc_auc,107,0.66588,0.76263,0.82143,0.7696,0.80333,0.77831,0.82277
roc_auc,108,0.67899,0.80594,0.84692,0.80484,0.83817,0.83652,0.86038
roc_auc,109,0.5791,0.77802,0.81696,0.76489,0.80551,0.76968,0.82382
roc_auc,110,0.70554,0.79691,0.81424,0.80614,0.80797,0.77284,0.83455
roc_auc,111,0.63517,0.84785,0.85629,0.78831,0.77091,0.81018,0.81849
roc_auc,112,0.69006,0.8396,0.85092,0.83658,0.82944,0.84357,0.8688
roc_auc,113,0.68439,0.80786,0.86331,0.84439,0.87332,0.8385,0.86807
roc_auc,114,0.67759,0.78935,0.80223,0.79357,0.78324,0.8077,0.83097
roc_auc,115,0.61696,0.80504,0.83996,0.82069,0.82647,0.82225,0.83225
roc_auc,116,0.67786,0.7998,0.83878,0.80899,0.8085,0.79688,0.85263
roc_auc,117,0.61612,0.76346,0.83273,0.81339,0.84991,0.82983,0.85013
roc_auc,118,0.64937,0.76226,0.77617,0.79229,0.82247,0.78776,0.83277
roc_auc,119,0.63362,0.84091,0.82204,0.83806,0.82476,0.80299,0.81641
