,,sample_10,sample_20,sample_30,sample_40,sample_50,sample_60,sample_80,sample_100,sample_200,sample_402
roc_auc,46,0.70773,0.76006,0.78958,0.80243,0.80694,0.82811,0.82945,0.83487,0.85635,0.84705
roc_auc,47,0.74309,0.77408,0.80261,0.82301,0.83567,0.85069,0.85815,0.85279,0.87589,0.9082
roc_auc,48,0.70692,0.72291,0.75622,0.77955,0.79373,0.79723,0.81842,0.83549,0.86814,0.87984
roc_auc,49,0.73704,0.78208,0.81322,0.81802,0.83098,0.84912,0.85552,0.8622,0.87411,0.88872
roc_auc,50,0.78242,0.82392,0.83694,0.87409,0.87506,0.87499,0.89162,0.88017,0.90628,0.91914
roc_auc,51,0.69194,0.75887,0.80981,0.82728,0.85594,0.85506,0.86483,0.87416,0.8862,0.899
roc_auc,52,0.74745,0.80412,0.83721,0.86043,0.86661,0.86938,0.8754,0.87944,0.91063,0.91027
roc_auc,53,0.71644,0.76431,0.80119,0.82035,0.82672,0.83729,0.84793,0.84981,0.86491,0.88417
roc_auc,54,0.72529,0.75231,0.78539,0.82964,0.83805,0.84925,0.86315,0.87178,0.90575,0.91266
roc_auc,55,0.69656,0.73768,0.78222,0.79766,0.8068,0.82322,0.82205,0.82697,0.83955,0.86995
roc_auc,56,0.74985,0.80182,0.82565,0.8482,0.84832,0.85664,0.86921,0.84913,0.88792,0.90277
roc_auc,57,0.74681,0.79055,0.82778,0.86201,0.86141,0.87415,0.88852,0.90007,0.91199,0.91344
roc_auc,58,0.73834,0.7967,0.80141,0.81481,0.83161,0.83396,0.83876,0.82948,0.85389,0.88657
roc_auc,59,0.71571,0.76126,0.76913,0.79899,0.80518,0.81253,0.8433,0.83958,0.86753,0.88881
roc_auc,60,0.74042,0.78708,0.80176,0.81616,0.84433,0.84253,0.84864,0.84453,0.84973,0.8915
roc_auc,61,0.77169,0.8106,0.84271,0.84215,0.84565,0.85897,0.87969,0.87302,0.87153,0.88878
roc_auc,62,0.71234,0.76113,0.78372,0.82582,0.86504,0.8632,0.85377,0.86237,0.87055,0.9057
roc_auc,63,0.72884,0.74603,0.79899,0.8112,0.80802,0.82675,0.83181,0.83254,0.87575,0.90749
roc_auc,64,0.73929,0.75735,0.79995,0.83268,0.83307,0.84459,0.87168,0.8641,0.87577,0.91097
roc_auc,65,0.73582,0.75671,0.76965,0.82092,0.80624,0.79943,0.83808,0.84471,0.86112,0.87537
roc_auc,66,0.73218,0.77608,0.80782,0.83468,0.83707,0.83727,0.85206,0.85196,0.88198,0.8833
roc_auc,67,0.74064,0.80394,0.79696,0.81832,0.84264,0.84519,0.86517,0.862,0.89041,0.91644
roc_auc,68,0.76572,0.80086,0.79808,0.83059,0.84802,0.85675,0.8767,0.87051,0.88726,0.9132
roc_auc,69,0.73576,0.80095,0.81928,0.83674,0.85222,0.83767,0.86825,0.87373,0.90467,0.91375
roc_auc,70,0.69118,0.752,0.76331,0.79933,0.80106,0.80019,0.81601,0.82519,0.8506,0.85288
roc_auc,71,0.74533,0.76058,0.79616,0.83475,0.83046,0.84377,0.84329,0.8479,0.86577,0.88202
roc_auc,72,0.7078,0.75656,0.79973,0.80684,0.80667,0.80996,0.83959,0.83451,0.85168,0.86811
roc_auc,73,0.71483,0.77186,0.78723,0.80515,0.80421,0.82357,0.84459,0.84251,0.87518,0.88238
roc_auc,74,0.78352,0.82262,0.81639,0.83434,0.84505,0.83287,0.85779,0.85726,0.87019,0.89939
roc_auc,75,0.72746,0.78045,0.81642,0.82845,0.83468,0.84616,0.86428,0.86312,0.88597,0.90048
roc_auc,76,0.70535,0.72819,0.78723,0.79705,0.80714,0.80061,0.83363,0.8435,0.86593,0.89069
roc_auc,77,0.79076,0.83809,0.86066,0.86753,0.87588,0.87878,0.89542,0.88796,0.89799,0.91396
roc_auc,78,0.70701,0.78077,0.80639,0.83283,0.83068,0.83493,0.87043,0.8586,0.88602,0.88911
roc_auc,79,0.7334,0.76235,0.77922,0.8013,0.82978,0.83807,0.85443,0.83597,0.88111,0.88612
roc_auc,80,0.71611,0.7542,0.7957,0.81116,0.83183,0.82877,0.85198,0.85739,0.84722,0.87756
roc_auc,81,0.73056,0.80151,0.81477,0.83157,0.8387,0.84477,0.8634,0.83803,0.86712,0.88847
roc_auc,82,0.74796,0.79442,0.80535,0.81398,0.84598,0.84714,0.85768,0.86431,0.88558,0.90684
roc_auc,83,0.7191,0.74908,0.78491,0.81803,0.82171,0.82692,0.83979,0.83478,0.85825,0.86266
roc_auc,84,0.72786,0.76637,0.79494,0.82489,0.81835,0.82513,0.82916,0.84747,0.86466,0.87763
roc_auc,85,0.7679,0.77155,0.79745,0.8223,0.81925,0.83175,0.85149,0.84831,0.86215,0.88976
roc_auc,86,0.77128,0.7951,0.83526,0.84075,0.84929,0.84656,0.8698,0.87322,0.88584,0.90716
roc_auc,87,0.67727,0.75276,0.80195,0.83522,0.8414,0.85817,0.85715,0.86465,0.87587,0.88805
roc_auc,88,0.75454,0.7715,0.79977,0.81247,0.81808,0.82612,0.83272,0.82959,0.85411,0.86987
roc_auc,89,0.72446,0.77391,0.81856,0.83913,0.8516,0.85032,0.87053,0.87745,0.88489,0.90862
roc_auc,90,0.75584,0.7792,0.81153,0.82941,0.85464,0.84974,0.86461,0.86692,0.8883,0.90882
roc_auc,91,0.7308,0.78914,0.78154,0.81369,0.83613,0.84545,0.86313,0.87591,0.88926,0.88221
roc_auc,92,0.72463,0.77108,0.79874,0.83306,0.8684,0.86205,0.85853,0.87092,0.88279,0.8977
roc_auc,93,0.75167,0.78035,0.80163,0.81979,0.81615,0.8204,0.84154,0.84583,0.87212,0.89956
roc_auc,94,0.72515,0.74234,0.76834,0.77714,0.78968,0.79249,0.81412,0.82537,0.85634,0.85912
roc_auc,95,0.74866,0.81596,0.82792,0.8514,0.84682,0.87303,0.87769,0.87586,0.90828,0.90445
roc_auc,96,0.7446,0.79651,0.80381,0.8366,0.83268,0.83318,0.85507,0.8645,0.88163,0.90796
roc_auc,97,0.73134,0.78776,0.79645,0.81173,0.81088,0.82156,0.87303,0.86118,0.88051,0.90478
roc_auc,98,0.73296,0.78172,0.817,0.85379,0.84024,0.8477,0.86115,0.86537,0.88107,0.89355
